,NVDA,AAPL,GOOGL,JPM,UNH,MSFT,AMZN,WMT,META,XOM
2019-10-17 00:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,
2019-10-24 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,,,,,
2019-10-31 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,,,,,
2019-11-07 00:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,
2019-11-14 00:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,
2019-11-21 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,,,,,
2019-11-29 00:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,
2019-12-06 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,,,,,
2019-12-13 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,,,,,
2019-12-20 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,,,,,
2019-12-30 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,,,,,
2020-01-07 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,,,,,
2020-01-14 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,,,,,
2020-01-22 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,,,,,
2020-01-29 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,,,,,
2020-02-05 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,,,,,
2020-02-12 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,,,,,
2020-02-20 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,,,,,
2020-02-27 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,,,,
2020-03-05 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,,,,
2020-03-12 00:00:00+00:00,0.5,0.5,,,,,,,,
2020-03-19 00:00:00+00:00,0.3333333333333333,,,,,,0.3333333333333333,0.3333333333333333,,
2020-03-26 00:00:00+00:00,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,,,
2020-04-02 00:00:00+00:00,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,,,
2020-04-09 00:00:00+00:00,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,,,
2020-04-17 00:00:00+00:00,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,,,
2020-04-24 00:00:00+00:00,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,,,
2020-05-01 00:00:00+00:00,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,,,
2020-05-08 00:00:00+00:00,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,,,
2020-05-15 00:00:00+00:00,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,,,
2020-05-22 00:00:00+00:00,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,,,
2020-06-01 00:00:00+00:00,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,,,
2020-06-08 00:00:00+00:00,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,,,
2020-06-15 00:00:00+00:00,0.3333333333333333,,,,,,0.3333333333333333,,0.3333333333333333,
2020-06-22 00:00:00+00:00,0.3333333333333333,,,,,,0.3333333333333333,,0.3333333333333333,
2020-06-29 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,,,
2020-07-07 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,,,
2020-07-14 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,,,
2020-07-21 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,,,
2020-07-28 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,,,
2020-08-04 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,,,
2020-08-11 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,,,,,,0.3333333333333333,
2020-08-18 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,,,
2020-08-25 00:00:00+00:00,0.3333333333333333,0.3333333333333333,,,,,,,0.3333333333333333,
